710.357	879.506	0.821429
865.806	520.417	1
1152.09	339.866	0.996667
374.084	1084	0.996667
216.326	1406.43	1
383.522	1060.88	1
323.836	1166.79	1
601.622	831.706	0.946203
523.962	858.598	1
2321.28	32.618	1
353.224	2060.2	0.864162
1072.25	389.344	1
1193.78	355.412	0.970779
17398.1	24950	0.502521
385.467	1058.8	1
316.126	1182.43	1
702.888	660.976	0.993355
417.094	1007.78	1
570.853	798.871	1
583.622	817.439	0.970779
914.567	480.143	1
567.974	805.626	1
745.432	617.8	1
190.474	1473.77	1
1182.27	318.154	1
1020.34	408.546	1
1253.46	281.746	1
611.462	752.228	1
250.248	1381.84	0.980328
868.222	522.381	0.996667
151.757	1600.07	0.996667
790.996	579.466	1
1165.97	327.516	1
1116.04	446.51	0.958333
366.895	1094.08	0.996667
666.99	693.416	1
516.17	873.616	1
772.825	600.462	0.996667
710.067	659.254	0.986799
943.31	459.699	1
886.758	511.1	0.996667
1481.9	196.608	1
237.352	1354.42	1
230.698	1404.38	0.996667
415.953	1010.43	1
695.747	664.491	1
1997.93	60.7577	1
561.076	811.811	1
780.412	586.74	1
1750.19	110.968	0.996667
86249.7	114759	0.500838
1032.85	401.028	1
88.7552	1846.31	1
700.5	660.475	0.996667
1424.26	239.575	0.990066
659.164	742.576	0.973941
447.108	962.388	1
63.1542	2056.24	0.996667
682.199	695.958	0.993355
634.374	799.714	0.931464
550.345	830.516	1
595.089	770.925	1
1331.55	245.912	1
689.742	670.518	1
272.051	1273.64	1
804.7	577.94	1
473.929	924.69	1
1585.75	166.593	0.996667
345.555	1129.87	1
417.31	1007.45	1
991.189	428.324	1
237.151	1354.46	1
536.548	841.645	1
624.235	744.932	0.996667
593.468	782.046	0.996667
570.825	810.336	0.993355
590.056	781.502	1
609.897	754.647	1
411.89	1017.93	1
450.134	1104.69	0.903323
1113.43	365.472	0.996667
601.58	763.748	1
310.999	1191.79	1
1012.04	413.788	1
608.961	764.11	0.993355
1142.89	336.907	1
776.109	591.255	1
556.297	816.642	1
697.622	687.155	0.990066
498.905	894.397	1
859.441	523.758	1
2332.86	25.8559	1
469.501	932.243	0.996667
611.238	753.23	1
120.735	2919.08	0.973941
368.575	1086.27	1
1126.29	351.189	0.993355
1639.45	143.669	1
606.69	757.873	1
303.54	1212.52	1
1608.16	146.989	1
1738.66	109.771	1
837.101	540.631	1
616.962	746.443	1
467.977	932.162	1
272.627	1305.98	0.996667
1007.65	416.749	1
354.882	1116.77	0.993355
848.027	539.739	1
715.027	649.57	1
509.954	880.662	0.996667
682.25	684.686	1
663.675	698.923	1
1369.97	497.86	0.869186
929.481	616.378	0.908815
3570.86	114.941	0.955272
935.694	466.601	1
488.146	907.407	1
630.859	740.307	0.993355
699.966	660.323	1
2567.54	103.292	0.973941
1920.28	107.372	0.993355
1570.08	157.454	1
202.6	1438.98	1
733.43	633.257	1
662.517	701.927	0.996667
407.22	1022.4	1
739.115	626.065	0.996667
2923.32	262.293	0.89521
624.971	738.868	1
9073.12	2714.57	0.505922
899.808	490.935	1
706.162	654.679	1
168.128	1583.92	1
286.473	1335.56	0.986799
85.4625	2164.96	0.990066
709.06	677.928	0.967638
182.666	1494.22	1
1305.13	265.009	0.996667
640.596	726.689	1
1728.67	112.408	1
280.027	1255.12	1
388.791	1062.13	0.986799
787.6	617.798	0.980328
1093.6	364.765	1
27831.4	19001.5	0.502521
907.714	486.426	1
1536.67	444.527	0.879412
1207.93	305.315	1
1590.58	162.962	0.996667
433.537	986.285	1
480.939	919.552	0.996667
1926.13	135.364	0.973941
932.385	490.679	0.986799
821.698	552.08	1
420.403	1787.31	0.795213
541.927	835.841	1
308.807	1198.34	1
466.748	950.859	1
362.973	1096.51	1
788.293	581.019	1
944.553	464.133	0.996667
1517.82	175.173	1
737.59	624.804	1
923.899	473.444	1
532.066	846.157	1
1894.13	97.2041	0.996667
93.0731	2488.41	0.977124
384.275	1089.09	0.983553
796.295	588.427	0.990066
507.54	878.048	1
398.945	1035.73	1
480.552	916.061	1
2064.72	45.0852	1
655.087	705.913	1
1724.85	114.782	1
974.998	440.07	1
1985.16	154.497	0.961415
1176.08	318.967	1
388.214	1059.64	0.993355
769.48	599.542	1
489.688	903.024	1
89.542	1958.09	0.996667
177.008	1524.25	1
627.61	738.221	1
189.593	1479.4	1
828.188	553.556	0.996667
493.413	912.832	0.990066
323.071	1251.76	0.977124
1004.41	449.805	0.986799
359.708	1105.41	1
621.754	743.106	1
275.049	1498.82	0.946203
313.888	1186.25	1
723.192	640.506	1
777.202	595.317	0.996667
1653.2	137.89	0.996667
840.283	541.079	0.996667
5163.79	570.164	0.756962
597.29	768.34	1
647.773	713.009	1
728.503	635.34	1
51.0258	2268.18	1
230.005	1368.97	1
1642.09	135.28	1
1815.35	94.5962	1
1311.12	278.118	0.993355
706.065	661.307	0.986799
574.691	794.171	1
296.696	1328.37	0.986799
613.596	751.892	1
2419.97	47.5307	0.990066
366.064	1099.96	0.996667
982.994	432.77	1
150.653	1598.32	1
3213.46	10205.2	0.50678
898.267	494.957	1
3133.61	124.669	0.955272
828.215	572.885	0.993355
500.573	894.172	1
408.084	1028.73	0.993355
704.006	657.479	1
491.055	907.77	0.993355
1386.09	222.886	1
1122.55	349.193	1
328.215	1186.51	0.990066
609.389	756.407	1
376.164	1089.77	0.990066
661.673	698.969	1
1443.03	201.39	1
246.526	1334.59	1
1507.47	177.639	1
